mission_id,disaster_id,mission_name,organization,priority_level,mission_status,country,disaster_type,personnel_count,supplies_shipped,last_updated_by,mission_notes
2845c7f7-cb32-4444-a4de-0c45ae206eab,2001-0164-CHN,Red Cross Response - China -Road -2001-04-10,Red Cross,Low,Planned,China,Road,81,"Water Purification Tablets, Medical Kits",Air traffic controller,Close international garden medical service Congress hand study.
525d6291-212b-455e-afc0-ba9b0a10c035,2006-0422-ETH,USAID Response - Ethiopia -Flood -2006-08-05,USAID,Critical,Planned,Ethiopia,Flood,54,"Temporary Shelters, Food Rations",Contracting civil engineer,General firm develop night early until view to house culture simply dark interesting.
39df4f63-82cd-439e-8b81-b78357c2dfcc,2000-0199-CHN,USAID Response - China -Explosion (Industrial) -2000-04-13,USAID,Low,En Route,China,Explosion (Industrial),51,"Medical Kits, Water Purification Tablets",Engineer maintenance (IT),Over late class now rise you remember artist picture behavior area.
ba0ce1f8-00b4-4009-9245-8ad222c54515,2005-0159-ZAF,Doctors Without Borders Response - South Africa -Road -2005-03-25,Doctors Without Borders,Low,On Site,South Africa,Road,69,"Medical Kits, Water Purification Tablets",Editor magazine features,Seek work water these minute ask sound.
8c9ad69a-345e-4aa1-acaf-eb55b4dd14af,2002-0380-TZA,WFP Response - United Republic of Tanzania -Rail -2002-06-24,WFP,High,En Route,Tanzania,Rail,29,"Food Rations, Water Purification Tablets",Geophysicist/field seismologist,Bed any land what administration sort stage spring help medical.
7ec5bd80-ac32-4ef2-bc3c-997ad4f887d6,2008-0511-AGO,Red Cross Response - Angola -Epidemic -2008-01-01,Red Cross,High,Completed,Angola,Epidemic,75,"Cold Chain Equipment, Medicines",Chief Technology Officer,Training size hour cut recognize everybody in.
bde20469-0483-4875-8573-805df583748d,2002-0317-TWN,Red Cross Response - Taiwan (Province of China) -Air -2002-05-25,Red Cross,High,Completed,Taiwan,Air,61,"Water Purification Tablets, Food Rations",Education officer environmental,News under set picture generation start reality debate board chair personal.
54fbfc99-7f88-4d45-8b6d-acccd235bb0d,2016-0387-PAK,USAID Response - Pakistan -Flood -2016-08-27,USAID,Low,On Site,Pakistan,Flood,70,"Hygiene Kits, Temporary Shelters",Trade union research officer,Somebody get value spring off want perhaps population great claim how number.
2bd36a6e-4941-48c7-bf89-3c96adaa86da,2003-0464-SAU,USAID Response - Saudi Arabia -Fire (Miscellaneous) -2003-09-15,USAID,High,En Route,Saudi Arabia,Fire (Miscellaneous),108,"Water Purification Tablets, Medical Kits",Camera operator,Help usually my region laugh not job himself respond.
f0d8d427-f8df-4110-8dee-a006c7d082d9,2013-0538-LBY,UNICEF Response - Libya -Explosion (Miscellaneous) -2013-11-28,UNICEF,Critical,Planned,Libya,Explosion (Miscellaneous),63,"Medical Kits, Food Rations",Translator,Stand available partner poor line leg option.
f19b4624-1825-4691-9725-c8ee22212f2f,2002-0367-SCG,USAID Response - Serbia Montenegro -Flood -2002-06-10,USAID,Critical,Completed,,Flood,36,"Hygiene Kits, Temporary Shelters",Financial controller,Describe woman by issue report rock fish long major wish federal opportunity.
83dcb14f-03ad-4f9f-8323-7b66c7979815,2001-0628-RUS,UNICEF Response - Russian Federation -Air -2001-11-19,UNICEF,Critical,En Route,Russia,Air,27,"Food Rations, Medical Kits",Chartered certified accountant,Exist right capital game research economic good.
7a8b0f70-0408-48c6-bf29-13724040e6e6,2011-0250-KOR,USAID Response - Republic of Korea -Flood -2011-07-08,USAID,Critical,En Route,"Korea, South",Flood,107,"Water Purification Tablets, Temporary Shelters",Radio broadcast assistant,Off line defense difference including away change paper short.
713d44ad-ad3d-48a1-8c97-2fa69f3e6a7f,2003-0112-RUS,Doctors Without Borders Response - Russian Federation -Air -2003-03-01,Doctors Without Borders,Critical,Completed,Russia,Air,119,"Food Rations, Water Purification Tablets",Aid worker,Light of collection finally student beyond wind treatment ago control.
569249e9-aeba-4cf7-b2ad-284870fe2ca8,2023-0460-BIH,WFP Response - Bosnia and Herzegovina -Storm -2023-07-18,WFP,High,Completed,Bosnia and Herzegovina,Storm,85,"Emergency Power Units, Tarps",Child psychotherapist,Experience often prevent deal business try relationship million character culture general.
4ff66617-7514-4581-9baf-4072c7b0717c,2018-0341-HKG,"WFP Response - China, Hong Kong Special Administrative Region -Storm -2018-09-17",WFP,Medium,On Site,Hong Kong,Storm,47,"Water Purification Tablets, Tarps",Patent examiner,Husband most admit respond good people data movement within.
0865cd43-fa1a-4a20-a2f1-b9d7d8c40e2f,2005-0124-PAK,WFP Response - Pakistan -Fire (Miscellaneous) -2005-03-17,WFP,Medium,Completed,Pakistan,Fire (Miscellaneous),93,"Food Rations, Medical Kits",Engineer technical sales,Least material anyone customer street quality student onto wish no paper.
661521e3-26e2-47fa-bf70-5856212344c6,2002-0613-AFG,UNICEF Response - Afghanistan -Flood -2002-08-28,UNICEF,High,Completed,Afghanistan,Flood,58,"Hygiene Kits, Water Purification Tablets",Fine artist,Choice traditional education natural investment turn surface.
bffca9fe-1669-4133-a8e4-968c385f46c6,2021-0016-ESP,Red Cross Response - Spain -Storm -2021-01-08,Red Cross,Low,Completed,Spain,Storm,66,"Tarps, Emergency Power Units",Building services engineer,Leg though especially box police unit natural boy light important.
ec21ec2d-8a66-4441-8e9e-656d449f7385,2010-0126-AGO,WFP Response - Angola -Flood -2010-03-21,WFP,Critical,En Route,Angola,Flood,67,"Temporary Shelters, Hygiene Kits",Purchasing manager,Old professor current TV institution happen scientist thank less institution car.
834f3194-9919-4a22-bec6-d4dfd1d5a3d9,2000-0037-REU,WFP Response - Réunion -Storm -2000-01-30,WFP,Critical,On Site,Reunion,Storm,90,"Water Purification Tablets, Tarps",Pharmacist community,Decision government foot whether popular near rich third type article.
5795ab74-68bc-46c0-be19-c8c89d3d3e0f,2006-0409-NPL,Doctors Without Borders Response - Nepal -Mass movement (wet) -2006-08-03,Doctors Without Borders,Medium,Planned,Nepal,Mass movement (wet),55,"Food Rations, Medical Kits",Ecologist,Tell write open audience prove race especially treatment.
dc2c8e40-0252-46a1-a720-f956f282d4d1,2008-0295-TWN,Red Cross Response - Taiwan (Province of China) -Storm -2008-07-18,Red Cross,Critical,En Route,Taiwan,Storm,11,"Medical Kits, Water Purification Tablets",Secondary school teacher,Media score he song cell pick upon your eat mother.
ae404182-d951-4bbb-af59-9044918f96b0,2016-0246-BOL,Red Cross Response - Bolivia (Plurinational State of) -Flood -2016-02-28,Red Cross,High,On Site,Bolivia,Flood,102,"Food Rations, Hygiene Kits",Therapeutic radiographer,Case true lose best opportunity need style program its move.
9d11fa87-022d-48fa-8cef-25e0944e4f70,2022-0325-CAN,USAID Response - Canada -Storm -2022-05-19,USAID,Critical,Planned,Canada,Storm,100,"Water Purification Tablets, Tarps",Psychologist sport and exercise,Goal better difficult campaign morning environment represent past likely rest conference year early.
cd3a87a9-d629-4010-9535-ee02e5b0db3d,2021-0228-BDI,WFP Response - Burundi -Flood -2021-04-12,WFP,Low,Planned,Burundi,Flood,36,"Temporary Shelters, Water Purification Tablets",Psychotherapist,Class bag almost threat difficult past teach speak professor charge whether local however.
bf48b951-e0c8-4c6a-a06e-aa7748732018,2021-0435-IND,UNICEF Response - India -Flood -2021-06-01,UNICEF,Medium,Completed,India,Flood,90,"Water Purification Tablets, Temporary Shelters",Administrator,Across here answer weight responsibility young recently condition scene.
4eeb4ac1-4b5d-43e7-a18d-5611ad371de9,2005-0558-PER,Doctors Without Borders Response - Peru -Earthquake -2005-09-26,Doctors Without Borders,High,En Route,Peru,Earthquake,82,"Search & Rescue Gear, Water",Advertising copywriter,Source series part act age story church various final even professional thought effort.
8ffe931a-c7bb-4da2-aa6d-8ea6d91008da,2000-0534-IND,WFP Response - India -Flood -2000-08-23,WFP,Low,On Site,India,Flood,78,"Hygiene Kits, Food Rations",Clinical research associate,Better herself here group condition support smile night push case maybe.
8002c100-0afb-45c2-b944-5c0c670b3069,2015-0023-MKD,USAID Response - North Macedonia -Flood -2015-01-31,USAID,Medium,Planned,North Macedonia,Flood,94,"Food Rations, Temporary Shelters",Medical illustrator,Report course you shoulder third season example morning skill group daughter catch sense.
f970c2e9-d0cc-45b3-adae-8929d9b59652,2006-0383-PRT,WFP Response - Portugal -Extreme temperature -2006-07-11,WFP,Low,On Site,Portugal,Extreme temperature,73,"Food Rations, Medical Kits",Commercial art gallery manager,Course north yourself defense culture along small wide both into on.
995a2a7a-06d8-48bd-b180-b72a109676c1,2003-0581-ETH,Doctors Without Borders Response - Ethiopia -Road -2003-11-29,Doctors Without Borders,High,Planned,Ethiopia,Road,113,"Food Rations, Water Purification Tablets",Public affairs consultant,Forget now industry so sort particularly little to program moment especially teacher describe.
f47bca24-5bc1-4a51-8c72-8a630cccbd62,2006-0466-USA,USAID Response - United States of America -Storm -2006-08-02,USAID,Critical,En Route,United States,Storm,60,"Emergency Power Units, Medical Kits",Museum education officer,Pass institution room boy attention up including try spend or a control side.
f2275c28-ac69-46e5-952e-d46cfb06d822,2011-0185-SRB,UNICEF Response - Serbia -Flood -2011-05-22,UNICEF,Critical,Completed,Serbia,Flood,60,"Temporary Shelters, Food Rations",Administrator Civil Service,Everything hotel agreement mouth interview recent design figure.
64d80cad-d8fe-4cfc-98f2-ebb574ac74ff,2020-0376-DOM,UNICEF Response - Dominican Republic -Storm -2020-08-26,UNICEF,High,Completed,Dominican Republic,Storm,36,"Water Purification Tablets, Medical Kits",Television floor manager,All establish mention goal something here final nation any mind base rule.
31f5c001-cb82-47e9-ae2e-b7ae5390f195,2015-0079-AUS,USAID Response - Australia -Storm -2015-02-22,USAID,High,En Route,Australia,Storm,67,"Emergency Power Units, Tarps",Occupational psychologist,Quality woman less this both unit drop present organization bad.
20f42b25-f8de-425d-b5ed-bc3c3cc3ecc2,2000-0822-ZWE,UNICEF Response - Zimbabwe -Epidemic -2000-11-01,UNICEF,High,Planned,Zimbabwe,Epidemic,71,"Medicines, Testing Supplies",Surgeon,Culture site policy sport deep participant class own behind technology world.
f23b6bcd-82b5-46f4-8e0e-684e2fb3209f,2010-0053-PAK,UNICEF Response - Pakistan -Flood -2010-02-08,UNICEF,Critical,En Route,Pakistan,Flood,93,"Water Purification Tablets, Food Rations",Banker,Light protect pay middle live book rather spend life.
fb64cea1-27c4-4d44-bacc-2e19356695b8,2014-0439-NGA,Red Cross Response - Nigeria -Epidemic -2014-04-01,Red Cross,Low,On Site,Nigeria,Epidemic,33,"Cold Chain Equipment, Testing Supplies",Programmer applications,Audience gun leg according set continue security dog establish.
287a24ad-65a5-47d7-a1d8-4bc055e27a6b,2001-0090-NGA,Doctors Without Borders Response - Nigeria -Fire (Miscellaneous) -2001-03-05,Doctors Without Borders,High,Completed,Nigeria,Fire (Miscellaneous),75,"Food Rations, Medical Kits",Producer television/film/video,Person new wall turn lead compare design perform message relationship term final.
174dc681-278c-4766-afbc-06971ba537b2,2005-0218-CHN,USAID Response - China -Explosion (Industrial) -2005-04-21,USAID,High,On Site,China,Explosion (Industrial),94,"Water Purification Tablets, Food Rations",Engineer land,Mouth picture decide hair wonder beautiful far security drive.
7a134d61-252e-4ff8-a1aa-7bf760a4b012,2014-0084-AFG,USAID Response - Afghanistan -Storm -2014-02-01,USAID,Low,En Route,Afghanistan,Storm,45,"Water Purification Tablets, Tarps",Therapist nutritional,Relationship produce news security we beyond number accept whose which.
52a04c9e-63ba-44b2-b99b-9da5acc27ae6,2007-0098-RUS,Red Cross Response - Russian Federation -Explosion (Industrial) -2007-03-18,Red Cross,Critical,On Site,Russia,Explosion (Industrial),97,"Food Rations, Medical Kits",Management consultant,Option apply would today laugh drug.
a45d8abe-34f4-45a9-98e7-afb512933b6f,2002-0428-NPL,USAID Response - Nepal -Mass movement (wet) -2002-07-15,USAID,High,En Route,Nepal,Mass movement (wet),51,"Food Rations, Water Purification Tablets",Optometrist,Imagine generation anything music our number behind.
b30f5cc6-83a7-4532-89dc-f70492a00453,2013-0365-BOL,UNICEF Response - Bolivia (Plurinational State of) -Extreme temperature -2013-08-01,UNICEF,Medium,On Site,Bolivia,Extreme temperature,10,"Water Purification Tablets, Medical Kits",Technical brewer,Challenge government bit city security could environmental understand physical site purpose require whether.
1451b9e0-3893-4867-92a1-813e1d565aa2,2010-0294-ARG,Red Cross Response - Argentina -Extreme temperature -2010-07-01,Red Cross,Critical,Planned,Argentina,Extreme temperature,116,"Food Rations, Water Purification Tablets",Embryologist clinical,Over material soldier arrive customer what action population game guy their throughout great.
cd0765b3-9fa0-4269-a539-e5cbae3a804d,2017-0361-CMR,Red Cross Response - Cameroon -Road -2017-08-19,Red Cross,Critical,On Site,Cameroon,Road,28,"Food Rations, Water Purification Tablets",Logistics and distribution manager,Public age identify fill piece modern close.
9fb8ea0a-6091-4acc-91d5-97cfcbe07926,2005-0034-NGA,Red Cross Response - Nigeria -Road -2005-01-22,Red Cross,Critical,Completed,Nigeria,Road,14,"Water Purification Tablets, Food Rations",Colour technologist,Thus early pull Mr forward would hot network item large.
84f188a5-c2ac-4a69-8daa-4014bfe7635c,2002-0126-FSM,Red Cross Response - Micronesia (Federated States of) -Storm -2002-03-03,Red Cross,High,Planned,"Micronesia, Federated States of",Storm,36,"Tarps, Medical Kits",Surveyor hydrographic,Eye suddenly public strategy become either.
eb4453a9-24d8-498c-86de-533ff8cbdb19,2008-0398-CHN,Red Cross Response - China -Mass movement (wet) -2008-09-08,Red Cross,Medium,Completed,China,Mass movement (wet),62,"Food Rations, Water Purification Tablets",Counsellor,Receive time eye Republican work look.
feb7f4b0-3c94-4c5d-ab2a-708abd3f408a,2016-0255-CHN,Doctors Without Borders Response - China -Mass movement (wet) -2016-07-07,Doctors Without Borders,Low,Planned,China,Mass movement (wet),102,"Water Purification Tablets, Food Rations",Horticultural consultant,West network quickly world suddenly number less Republican prove.
