Display_Name,Ontology_Geo_point,Geo_point,Start_Date,disaster_id,End_Date,Disaster_Group,Disaster_Subgroup,Disaster_Type,Disaster_Subtype,Event_Name,ISO,Country,Subregion,Region,Location,Origin,Associated_Types,OFDABHA_Response,Appeal,Declaration,AID_Contribution_000_US,Magnitude,Magnitude_Scale,Total_Deaths,No_Injured,No_Affected,No_Homeless,Total_Affected,Reconstruction_Costs_Adjusted_000_US,Insured_Damage_000_US,Insured_Damage_Adjusted_000_US,Total_Damage_000_US,Total_Damage_Adjusted_000_US,GADM_Admin_Units,Entry_Date,Last_Update,_newCountry,_newISO3,_newISO2
Argentina -Flood -2012-11-20,"-38.4160970,-63.6166720","{longitude=-63.616672, latitude=-38.416097}",2012-11-20,2012-0593-ARG,,Natural,Hydrological,Flood,Riverine flood,,ARG,Argentina,Latin America and the Caribbean,Americas,Corrientes province,,,No,No,No,,377212.0,Km2,6,,10000,,10000,,,,,,"[{""gid_1"":""ARG.7_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Corrientes""}]",2013-02-07,2025-12-20,Argentina,ARG,AR
Argentina -Drought -2018-01-01,"-38.4160970,-63.6166720","{longitude=-63.616672, latitude=-38.416097}",2018-01-01,2018-9075-ARG,,Natural,Climatological,Drought,Drought,,ARG,Argentina,Latin America and the Caribbean,Americas,"Buenos Aires, Cordoba, Santa Fe, Pampa, Santiago del Estero provinces",,,No,No,No,,,Km2,,,,,,,,,3400000.0,4247367.0,"[{""gid_1"":""ARG.11_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""La Pampa""},{""gid_1"":""ARG.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Buenos Aires""},{""gid_1"":""ARG.21_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Santa Fe""},{""gid_1"":""ARG.22_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Santiago del Estero""},{""gid_1"":""ARG.6_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Córdoba""}]",2018-03-01,2025-12-20,Argentina,ARG,AR
Argentina -Flood -2019-05-10,"-38.4160970,-63.6166720","{longitude=-63.616672, latitude=-38.416097}",2019-05-10,2019-0206-ARG,,Natural,Hydrological,Flood,Flood (General),,ARG,Argentina,Latin America and the Caribbean,Americas,"General Taboada, Juan Felipe Ibarra, Belgrano Departments (Santiago del Estero Province)",Hevy rainfall,,No,No,No,,,Km2,,,2100,,2100,,,,,,"[{""gid_2"":""ARG.22.11_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""General Taboada""},{""gid_2"":""ARG.22.14_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Juan Felipe Ibarra""},{""gid_2"":""ARG.22.6_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Belgrano""}]",2019-05-20,2025-12-20,Argentina,ARG,AR
Argentina -Storm -2020-01-15,"-38.4160970,-63.6166720","{longitude=-63.616672, latitude=-38.416097}",2020-01-15,2020-0060-ARG,,Natural,Meteorological,Storm,Storm (General),,ARG,Argentina,Latin America and the Caribbean,Americas,"Famaillá, La Reducción, La Madrid, Los Ralos, Yerba Buena municipalities (Tucumán province )",,Flood,No,No,No,,,Kph,,,250,,250,,,,,,"[{""gid_2"":""ARG.24.10_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Lules""},{""gid_2"":""ARG.24.17_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Yerba Buena""},{""gid_2"":""ARG.24.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Cruz Alta""},{""gid_2"":""ARG.24.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Famaillá""},{""gid_2"":""ARG.24.6_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Graneros""}]",2020-02-13,2025-12-20,Argentina,ARG,AR
Argentina -Flood -2021-03-01,"-38.4160970,-63.6166720","{longitude=-63.616672, latitude=-38.416097}",2021-03-01,2021-0140-ARG,,Natural,Hydrological,Flood,Flash flood,,ARG,Argentina,Latin America and the Caribbean,Americas,"Catamarca, Tinogasta, Belén",Heavy rains,,No,No,No,,,Km2,,,90,,90,,,,,,"[{""gid_1"":""ARG.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Catamarca""}]",2021-03-15,2025-12-20,Argentina,ARG,AR
Argentina -Flood -2015-12-20,"-38.4160970,-63.6166720","{longitude=-63.616672, latitude=-38.416097}",2015-12-20,2015-0551-ARG,,Natural,Hydrological,Flood,Riverine flood,,ARG,Argentina,Latin America and the Caribbean,Americas,"Concordia city (Condordia district, Entre Rios province), Hernandarias city (Paraná district, Entre Rios proince), Gualeguaychú, Colón districts (Entre Rios province), Paso de la Patria, Santa Ana cities (San Cosme district, Corrientes province), Perugorria city (Curuzu Cuatia district, Corrientes province), Cruz de los Milagros, Algarrobo, San José, Santa Lucia cities (Lavalle district, Corrientes province), Esquina, Goya, Paso de los Libres districts (Corrientes province)",El Nino,,No,No,No,,,Km2,6,,76133,,76133,,,,,,"[{""gid_2"":""ARG.7.10_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Goya""},{""gid_2"":""ARG.7.13_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Lavalle""},{""gid_2"":""ARG.7.17_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Paso de los Libres""},{""gid_2"":""ARG.7.19_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""San Cosme""},{""gid_2"":""ARG.7.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Curuzú Cuatiá""},{""gid_2"":""ARG.7.7_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Esquina""},{""gid_2"":""ARG.8.13_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Paraná""},{""gid_2"":""ARG.8.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Colón""},{""gid_2"":""ARG.8.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Concordia""},{""gid_2"":""ARG.8.8_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Gualeguaychú""}]",2016-01-06,2025-12-20,Argentina,ARG,AR
Argentina -Flood -2016-12-25,"-38.4160970,-63.6166720","{longitude=-63.616672, latitude=-38.416097}",2016-12-25,2016-0519-ARG,,Natural,Hydrological,Flood,Riverine flood,,ARG,Argentina,Latin America and the Caribbean,Americas,"Pergamino, Ramallo, Colón, Arrecifes, Rojas, Salto, San Nicolás, Florentino Ameghino, General Villegas, Baradero, San Antonio de Areco (Buenos Aires); Jovita (General Roca), Villa Dolores (San Javier), La Cumbre, La Falda, Villa Giardini (Punilla), Rio Ceballos, Salsipuedes, Agua de Oro, Jesús María, Colonia Caroya (Colon) (Córdoba); Maria Teresa (General Lopez), Allvarez (Rosario) (Santa Fe) ; La Paz, Parana (Entre Rios)",Intense rainfall,Hail|Storm,No,No,No,,,Km2,,,13650,,13650,,,,2000.0,2614.0,"[{""gid_2"":""ARG.1.104_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Salto""},{""gid_2"":""ARG.1.106_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""San Antonio de Areco""},{""gid_2"":""ARG.1.111_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""San Nicolás""},{""gid_2"":""ARG.1.12_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Baradero""},{""gid_2"":""ARG.1.29_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Colón""},{""gid_2"":""ARG.1.57_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""General Villegas""},{""gid_2"":""ARG.1.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Ameghino""},{""gid_2"":""ARG.1.6_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Arrecifes""},{""gid_2"":""ARG.1.90_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Pergamino""},{""gid_2"":""ARG.1.96_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Ramallo""},{""gid_2"":""ARG.1.99_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Rojas""},{""gid_2"":""ARG.21.12_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Rosario""},{""gid_2"":""ARG.21.6_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""General López""},{""gid_2"":""ARG.6.13_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Punilla""},{""gid_2"":""ARG.6.19_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""San Javier""},{""gid_2"":""ARG.6.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Colón""},{""gid_2"":""ARG.6.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""General Roca""},{""gid_2"":""ARG.8.11_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""La Paz""},{""gid_2"":""ARG.8.13_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Paraná""}]",2017-01-10,2025-12-20,Argentina,ARG,AR
Argentina -Flood -2017-05-29,"-38.4160970,-63.6166720","{longitude=-63.616672, latitude=-38.416097}",2017-05-29,2017-0195-ARG,,Natural,Hydrological,Flood,Riverine flood,,ARG,Argentina,Latin America and the Caribbean,Americas,"Entre Rios, Corrientes",,,No,No,No,,,Km2,,,3000,,3000,,,,,,"[{""gid_1"":""ARG.7_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Corrientes""},{""gid_1"":""ARG.8_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Entre Ríos""}]",2017-06-23,2025-12-20,Argentina,ARG,AR
Argentina -Flood -2018-01-20,"-38.4160970,-63.6166720","{longitude=-63.616672, latitude=-38.416097}",2018-01-20,2018-0074-ARG,,Natural,Hydrological,Flood,Flood (General),,ARG,Argentina,Latin America and the Caribbean,Americas,"Santa Mónica, Tiro Federal, Ginés Benítez, Monseñor de Carlo, Santa Elena, Hipólito Yrigoyen, Sáenz Peña, Milenium, San José, Piñeiro, Nala, Pablo VI, Quinta Ocho (Chaco) -> all in Presidencia Roque Sáenz Peña",,,No,No,No,,,Km2,,,45000,,45000,,,,,,"[{""gid_2"":""ARG.6.12_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Presidente Roque Sáenz Peña""}]",2018-02-28,2025-12-20,Argentina,ARG,AR
Argentina -Air -2000-10-22,"-38.4160970,-63.6166720","{longitude=-63.616672, latitude=-38.416097}",2000-10-22,2000-0685-ARG,,Technological,Transport,Air,Air,,ARG,Argentina,Latin America and the Caribbean,Americas,Chacabuco municipality,,,No,No,No,,,,11,,,,,,,,,,,2003-07-01,2023-09-25,Argentina,ARG,AR
Argentina -Air -2001-04-28,"-38.4160970,-63.6166720","{longitude=-63.616672, latitude=-38.416097}",2001-04-28,2001-0169-ARG,,Technological,Transport,Air,Air,Cessna 208 Caravan,ARG,Argentina,Latin America and the Caribbean,Americas,Near Roque Pérez,,,No,No,No,,,,10,,,,,,,,,,,2003-07-01,2023-09-25,Argentina,ARG,AR
Argentina -Road -2001-08-21,"-38.4160970,-63.6166720","{longitude=-63.616672, latitude=-38.416097}",2001-08-21,2001-0449-ARG,,Technological,Transport,Road,Road,,ARG,Argentina,Latin America and the Caribbean,Americas,San Nicolas,,,No,No,No,,,,20,,,,,,,,,,,2003-07-01,2023-09-25,Argentina,ARG,AR
Argentina -Drought,"-38.4160970,-63.6166720","{longitude=-63.616672, latitude=-38.416097}",,2019-9666-ARG,,Natural,Climatological,Drought,Drought,,ARG,Argentina,Latin America and the Caribbean,Americas,"San Martín, Rivadavia, Oran departments (Salta province)",,,No,No,Yes,,,Km2,8,32,35000,,35032,,,,,,"[{""gid_2"":""ARG.17.18_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Orán""},{""gid_2"":""ARG.17.19_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Rivadavia""},{""gid_2"":""ARG.17.8_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""General José de San Martín""}]",2020-03-03,2025-12-20,Argentina,ARG,AR
Argentina -Earthquake -2002-05-28,"-38.4160970,-63.6166720","{longitude=-63.616672, latitude=-38.416097}",2002-05-28,2002-0368-ARG,,Natural,Geophysical,Earthquake,Ground movement,,ARG,Argentina,Latin America and the Caribbean,Americas,"Aminga, Anillaco, Agua Blanca, Chuquis towns (Castro Barros district, La Rioja Provinve)",,"Slide (land, mud, snow, rock)",No,No,No,,6.0,Moment Magnitude,,27,500,200,727,,,,,,"[{""gid_2"":""ARG.12.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Castro Barros""}]",2003-09-03,2025-12-20,Argentina,ARG,AR
Argentina -Road -2002-09-15,"-38.4160970,-63.6166720","{longitude=-63.616672, latitude=-38.416097}",2002-09-15,2002-0592-ARG,,Technological,Transport,Road,Road,,ARG,Argentina,Latin America and the Caribbean,Americas,Near Gatamarca,,,No,No,No,,,,47,25,,,25,,,,,,,2003-07-01,2023-09-25,Argentina,ARG,AR
Argentina -Road -2003-07-30,"-38.4160970,-63.6166720","{longitude=-63.616672, latitude=-38.416097}",2003-07-30,2003-0367-ARG,,Technological,Transport,Road,Road,,ARG,Argentina,Latin America and the Caribbean,Americas,Near Lobos,,,No,No,No,,,,13,1,,,1,,,,,,,2003-08-05,2023-09-25,Argentina,ARG,AR
Argentina -Flood -2014-06-07,"-38.4160970,-63.6166720","{longitude=-63.616672, latitude=-38.416097}",2014-06-07,2014-0188-ARG,,Natural,Hydrological,Flood,Riverine flood,,ARG,Argentina,Latin America and the Caribbean,Americas,"Chaco, Formosa, Misiones, Corrientes provinces",,,No,No,No,,,Km2,,,,,,,,,62000.0,82154.0,"[{""gid_1"":""ARG.14_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Misiones""},{""gid_1"":""ARG.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Chaco""},{""gid_1"":""ARG.7_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Corrientes""},{""gid_1"":""ARG.9_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Formosa""}]",2014-07-09,2025-12-20,Argentina,ARG,AR
Argentina -Volcanic activity -2011-06-04,"-38.4160970,-63.6166720","{longitude=-63.616672, latitude=-38.416097}",2011-06-04,2011-0209-ARG,,Natural,Geophysical,Volcanic activity,Ash fall,"Volcano ""Puyehue""",ARG,Argentina,Latin America and the Caribbean,Americas,"San Martin de Los Andes town (Lacar district, Neuquen province), Bariloche district (Rio Negro province), Chubut province",,,No,No,Yes,,,,,,3000,,3000,,,,104000.0,145033.0,"[{""gid_1"":""ARG.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Chubut""},{""gid_2"":""ARG.15.8_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Lacar""},{""gid_2"":""ARG.16.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Bariloche""}]",2014-07-25,2025-12-20,Argentina,ARG,AR
